Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,198,-,-,-,24.85,67.05,6,0,6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,Snow Depth,Wind Speed,GHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,3,0,0,2.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,4,0,0,3.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,5,0,0,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,6,0,0,3.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,7,0,0,3.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,8,0,0,3.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,9,0,0,3.4,82,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,10,0,0,2.8,281,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,11,0,0,2.6,468,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,12,0,0,2.4,605,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,13,0,0,2.2,698,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,14,0,0,2.3,706,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,15,0,0,2.2,642,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,16,0,0,2.2,509,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,17,0,0,2.3,290,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,18,0,0,2.3,116,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,19,0,0,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,20,0,0,2.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,21,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,22,0,0,3.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,23,0,0,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,0,0,0,3.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,1,0,0,3.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,2,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,3,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,4,0,0,3.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,5,0,0,3.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,6,0,0,3.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
